COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village,
Kancheepuram District 631605",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,,,141.18,,
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village,
Kancheepuram District 631605",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,129.84,,,,,,,,
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village,
Kancheepuram District 631605",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,147.35,,,,,,,,
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village,
Kancheepuram District 631605",ME,MECHANICAL ENGINEERING,150.29,140.37,,,,,,,
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,142.15,,,,,,,,
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,143.90,,,,,,,,
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",ME,MECHANICAL ENGINEERING,,,,,,,153.59,,
1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District
603103",ME,MECHANICAL ENGINEERING,,145.48,,,,,,,
1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai
600089",AU,AUTOMOBILE ENGINEERING,162.45,,,,,,,,
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram,
Pallikaranai, Chennai 600 100",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",,,,,,,153.91,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",BM,BIO MEDICAL ENGINEERING,143.70,,,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",CS,COMPUTER SCIENCE AND ENGINEERING,176.60,162.73,,,,,153.31,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.17,156.33,,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,160.45,152.67,,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",IT,INFORMATION TECHNOLOGY,178.89,,,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District
603110",ME,MECHANICAL ENGINEERING,174.64,,,,,,160.31,,
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam
Post, Kundrathur, Chennai 600069",CE,CIVIL  ENGINEERING,141.10,,,,,,,,
1401,"Adhiparasakthi Engineering College,
Melmaruvathur, Chengalpattu District 603319",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",141.16,,,,,,,,
1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District
603319",ME,MECHANICAL ENGINEERING,145.48,,,,,,,,
1402,"Annai Terasa College of Engineering, Thirunavalur, Kallakkurichi District
607204",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",137.70,,,,,,,,
1402,"Annai Terasa College of Engineering,
Thirunavalur, Kallakkurichi District 607204",ME,MECHANICAL ENGINEERING,138.10,136.35,,,,,,,
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam,
Villupuram District 605108",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",156.82,,,,,,,,
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam,
Villupuram District 605108",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,150.49,,,,,
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam,
Villupuram District 605108",ME,MECHANICAL ENGINEERING,138.40,,,,,,125.50,,
1411,"Madha Engineering College, Kundrathur, Chennai 600069",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",147.23,,,,,,,,
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,152.04,,,,,,,,
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,165.42,,,,,,,,
1414,"Prince Shri Venkateshwara
Padmavathy Enginering College, Ponmar, Chennai 600048",CE,CIVIL  ENGINEERING,166.03,,,,,,,,
1414,"Prince Shri Venkateshwara Padmavathy Enginering College,
Ponmar, Chennai 600048",ME,MECHANICAL ENGINEERING,156.54,,,,,,,,
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post,
Chennai 600048",ME,MECHANICAL ENGINEERING,131.06,,,,,,,,
1421,"V R S College of Engineering and Technology, Arasur, Villupuram
District 607107",CS,COMPUTER SCIENCE AND ENGINEERING,151.34,,,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai
603203",AD,Artificial Intelligence and Data Science,178.95,,,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur,
Chennai 603203",AG,AGRICULTURE ENGINEERING,,149.22,,,,,,,
1422,"SRM Valliammai Engineering College
(Autonomous), Kattankulathur, Chennai 603203",CS,COMPUTER SCIENCE AND ENGINEERING,165.16,,,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur,
Chennai 603203",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",147.35,,,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur,
Chennai 603203",IT,INFORMATION TECHNOLOGY,149.76,,,,,,,,
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai
601301",RM,ROBOTICS AND AUTOMATION,145.68,,,,,,,,
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem,
Kallakurichi  District 606201",CS,COMPUTER SCIENCE AND ENGINEERING,138.76,,,,,,,,
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road,
Gowriwakkam, Chennai 600073",ME,MECHANICAL ENGINEERING,129.60,,,,,,,,
1434,"Surya Group of Institutions, GST Road,
Vikravandi Village, Villupuram District 605652",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,129.07,,,,,,,,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",CE,CIVIL  ENGINEERING,143.70,,,,,,,,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",CS,COMPUTER SCIENCE AND ENGINEERING,,,,148.18,,,,,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.78,,,,,,,,
1437,"Rrase College of Engineering, Padappai, Chennai 601301",IT,INFORMATION TECHNOLOGY,147.06,,,,,,,,
1437,"Rrase College of Engineering, Padappai, Chennai 601301",ME,MECHANICAL ENGINEERING,134.65,,,,,,,,
1438,"Sree Krishna College of Engineering,
Anaicut Post, Unnai Village, Vellore District 632101",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,116.33,,,,,,,,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",CS,COMPUTER SCIENCE AND ENGINEERING,139.03,,,,,,,,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,140.70,137.42,,,,,,,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",ME,MECHANICAL ENGINEERING,147.16,,,,,,,,
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam- Mambakkam Road,
Ponmar, Chennai 600048",CS,COMPUTER SCIENCE AND ENGINEERING,147.17,,,,,,,,
1450,"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai
600034",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,154.29,,,,,,,
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram,
Chennai 600048",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,,,,132.59,,
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram,
Chennai 600048",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",140.68,,,,,,,,
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District
632506",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",155.92,,,,,,,,
1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur
District 635751",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",132.89,,,,,,,,
1510,"Priyadarshini Engineering College,
Vaniyambadi Post, Thiruppattur District 635751",ME,MECHANICAL ENGINEERING,141.51,,,,,,,,
1516,"Thanthai Periyar Government
Institute of Technology, Bagayam, Vellore District 632002",CE,CIVIL  ENGINEERING,,,,,,,159.09,,
1516,"Thanthai Periyar Government
Institute of Technology, Bagayam, Vellore District 632002",CS,COMPUTER SCIENCE AND ENGINEERING,161.85,,,,,,,,
1516,"Thanthai Periyar Government
Institute of Technology, Bagayam, Vellore District 632002",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",162.94,148.00,,,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam,
Vellore District 632002",ME,MECHANICAL ENGINEERING,,158.65,,,,,,,
1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District
631551",CS,COMPUTER SCIENCE AND ENGINEERING,152.24,,,,,,,,
1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District
631551",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",141.45,,,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi,
Thiruvannamalai District 604505",AU,AUTOMOBILE ENGINEERING,167.41,,,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi,
Thiruvannamalai District 604505",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,154.21,,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi,
Thiruvannamalai District 604505",ME,MECHANICAL ENGINEERING,,,149.15,170.68,,,,,
1519,"Bharathidasan Engineering College,
Nattrampalli Post, Thiruppathur District 635854",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,,,164.78,,
1519,"Bharathidasan Engineering College,
Nattrampalli Post, Thiruppathur District 635854",IT,INFORMATION TECHNOLOGY,141.16,,,,,,,,
1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District
635854",ME,MECHANICAL ENGINEERING,137.96,,,,,,,,
1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah
Taluk, Ranipet District 632506",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,,,139.81,,
1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah
Taluk, Ranipet District 632506",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,153.98,,,,,,,,
1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk,
Thiruvannamalai District 606902",ME,MECHANICAL ENGINEERING,,,,143.32,,,,,
1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur
Post, Tirupattur District 635601",CS,COMPUTER SCIENCE AND ENGINEERING,152.90,,,,,,,,
1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur
Post, Tirupattur District 635601",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",145.73,,,,,,,,
2005,"Government College of Technology (Autonomous), Thadagam Road,
Coimbatore District 641013",CE,CIVIL  ENGINEERING,179.87,178.31,,,,162.45,,,
2005,"Government College of Technology (Autonomous), Thadagam Road,
Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,,184.07,,,,,,,
2005,"Government College of Technology
(Autonomous), Thadagam Road, Coimbatore District 641013",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,,178.70,,,,
2005,"Government College of Technology
(Autonomous), Thadagam Road, Coimbatore District 641013",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",,,,,,,,,136.09
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore
District 641013",EI,"ELECTRONICS AND
INSTRUMENTATION ENGINEERING",,,,,,,168.06,,
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore
District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,177.06,,,161.01,,,,,
2005,"Government College of Technology
(Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,,,,,,,177.37,,
2005,"Government College of Technology (Autonomous), Thadagam Road,
Coimbatore District 641013",ME,MECHANICAL ENGINEERING,,184.18,,,,,,,
2005,"Government College of Technology
(Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,189.31,173.50,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),,,,153.26,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),177.29,170.20,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",BY,BIO MEDICAL ENGINEERING (SS),178.93,171.60,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",CE,CIVIL  ENGINEERING,,,,161.48,,,,,
2006,"PSG College of Technology
(Autonomous), Peelamedu, Coimbatore District 641004",CM,COMPUTER SCIENCE AND ENGINEERING (SS),190.57,189.43,,,,,,151.62,
2006,"PSG College of Technology
(Autonomous), Peelamedu, Coimbatore District 641004",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",193.96,,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore
District 641004",EM,"ELECTRONICS AND
COMMUNICATION ENGINEERING (SS)",,,,,,,156.86,,
