COLLEGE NAME,BRANCH NAME,MAX CUTOFF
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006","ELECTRONICS AND COMMUNICATION
ENGINEERING",174.5
"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",CIVIL  ENGINEERING,174.5
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",M.Tech. Computer Science and Engineering (Integrated 5 years),174.0
Mahendra Institute of Technology (Autonomous)  Mahendhirapuri Mallasamudram   Namakkal District 637503,AUTOMOBILE ENGINEERING,174.0
"Bannari Amman Institute of Technology (Autonomous)  Sathyamanagalam  Erode
District  638401","ELECTRONICS AND COMMUNICATION
ENGINEERING",174.0
"Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode
District 638316",MECHANICAL ENGINEERING,174.0
"Coimbatore Institute of Technology
(Autonomous)  Civil Aerodrome Post Coimbatore District 641014",COMPUTER SCIENCE AND ENGINEERING (SS),173.5
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006",INFORMATION TECHNOLOGY,173.0
K P R Institute of Engineering and Technology (Autonomous)  Kollupalayam Village  Arasur Panchayat  Coimbatore District 641407,Mechatronics Engineering,173.0
"Velammal Institute of Technology  Chennai-
Kolkatta Highway  Panchetti Village  Ponneri Taluk  Thiruvallur District 601204",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,172.5
"Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post
Coimbatore District 641014",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),172.5
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",ELECTRONICS AND COMMUNICATION ENGINEERING,172.5
"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",MECHANICAL ENGINEERING,172.0
"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",GEO INFORMATICS,172.0
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006",ELECTRICAL AND ELECTRONICS ENGINEERING,172.0
"Tagore Institute of Engineering and Technology  Deviyakurichi  Attur Taluk  Salem
District 636112",ELECTRICAL AND ELECTRONICS ENGINEERING,171.5
PSG College of Technology (Autonomous) Peelamedu  Coimbatore District 641004,ELECTRICAL AND ELECTRONICS (SANDWICH) (SS),171.5
"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",MANUFACTURING ENGINEERING,171.5
"Sri Krishna College of Enginering and Technology (Autonomous)   Kuniamuthur
Coimbatore District 641008",COMPUTER SCIENCE AND BUSSINESS SYSTEM,170.5
"Sri Krishna College of Enginering and Technology (Autonomous)   Kuniamuthur
Coimbatore District 641008",Computer Science and Engineering (Cyber Security),170.5
"Sri Ramakrishna College of Engineering  Sri Saradha Nagar  NH-45  Perambalur District
621113",AGRICULTURAL ENGINEERING,170.5
K P R Institute of Engineering and Technology (Autonomous)  Kollupalayam Village  Arasur Panchayat  Coimbatore District 641407,COMPUTER SCIENCE AND ENGINEERING,170.0
"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",PRODUCTION ENGINEERING,170.0
Government College of Engineering Tirunelveli District 627007,"ELECTRONICS AND
COMMUNICATION ENGINEERING",169.5
"University College of Engineering
Ramanathapuram  Pullangudi Ramanathapuram District 623513",COMPUTER SCIENCE AND ENGINEERING,169.4
"Einstein College of Engineering Seethaparpanallur  Tirunelveli District
627012",COMPUTER SCIENCE AND ENGINEERING,169.0
"Bharath Niketan Engineering College
Thimmarasanaickanoor  Aundipatti  Theni District 625536",MECHANICAL ENGINEERING,169.0
"Government College of Engineering (Autonomous)  Karuppur  Salem District
636011",COMPUTER SCIENCE AND ENGINEERING,169.0
"Bannari Amman Institute of Technology
(Autonomous)  Sathyamanagalam  Erode District  638401",COMPUTER SCIENCE AND ENGINEERING,169.0
"AMRITA  College of Engineering and Technology  Erachakulam Post  Kanyakumari
District 629902",ELECTRICAL AND ELECTRONICS ENGINEERING,168.5
K S K College of Engineering and Technology Thanjavur Main Road  Darasuram Kumbakonam  Thanjavur District 612702,ELECTRONICS AND COMMUNICATION ENGINEERING,168.5
"Government College of Engineering
(Autonomous)  Karuppur  Salem District 636011",ELECTRICAL AND ELECTRONICS ENGINEERING,168.0
"Rathinam Technical Campus  (Autonomous) Pollachi Road  Eachanari  Coimbatore District
641021",COMPUTER SCIENCE AND ENGINEERING,168.0
"Government College of Engineering
(Autonomous)  Bargur  Krishnagiri District 635104","ELECTRONICS AND
COMMUNICATION ENGINEERING",168.0
"Kongu Engineering College (Autonomous)
Perundurai  Erode District 638052","COMPUTER SCIENCE AND
ENGINEERING",168.0
PSG College of Technology (Autonomous) Peelamedu  Coimbatore District 641004,"Computer Science and Engineering (Artificial Intelligence and Machine
Learning) (SS)",168.0
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),167.5
"University College of Engineering  Nagercoil Nagercoil Industrial Estate  Konam
Kanyakumari District 629004",MECHANICAL ENGINEERING,167.5
"St. Xavier's Catholic College of Engineering (Autonomous)  Chunkankadai  Nagercoil
Kanyakumari District 629807",COMPUTER SCIENCE AND ENGINEERING,167.5
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","ROBOTICS AND AUTOMATION
(SS)",167.5
"Sri Krishna College of Technology (Autonomous)   Kovaipudur Post  Coimbatore
District 641042",MECHANICAL ENGINEERING,167.5
"Velalar College of Engineering and
Technology (Autonomous)  Thindal Post Erode District 638012",MECHANICAL ENGINEERING,167.0
"Government College of Technology
(Autonomous)  Thadagam Road  Coimbatore District 641013",INDUSTRIAL BIO TECHNOLOGY,166.5
"Kumaraguru College of Technology
(Autonomous)  Chinnavedampatti Post Coimbatore District 641006","ELECTRONICS AND
INSTRUMENTATION ENGINEERING",166.5
"Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai
District 625015","ELECTRONICS AND COMMUNICATION
ENGINEERING",166.5
Prince Dr. K Vasudevan College of Engineering and Technology  Medavakkam- Mambakkam Road  Ponmar  Chennai 600127,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,166.0
"University Departments of Anna University
Chennai - ACT Campus  Sardar Patel Road Guindy  Chennai 600 025",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),166.0
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","INSTRUMENTATION AND
CONTROL ENGINEERING (SS)",166.0
Meenakshi Sundararajan Engineering College Kodambakkam  Chennai 600024,"ELECTRONICS AND COMMUNICATION
ENGINEERING",166.0
"MAR Ephraem College of Engineering & Technology  Malankara Hills  Elavuvillai
Marthandam  Kanyakumari District 629171","ELECTRONICS AND COMMUNICATION
ENGINEERING",166.0
"Anna University Regional Campus - Coimbatore  Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam  Coimbatore District
641046",ELECTRONICS AND COMMUNICATION ENGINEERING,166.0
"Sri Krishna College of Enginering and
Technology (Autonomous)   Kuniamuthur Coimbatore District 641008",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165.5
University College of Engineering Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,ELECTRONICS AND COMMUNICATION ENGINEERING,165.5
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",AERONAUTICAL ENGINEERING,165.5
Mahendra Institute of Technology (Autonomous)  Mahendhirapuri Mallasamudram   Namakkal District 637503,COMPUTER SCIENCE AND ENGINEERING,165.5
PSG College of Technology (Autonomous) Peelamedu  Coimbatore District 641004,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",165.5
"Dr. Mahalingam College of  Engineering and Technology (Autonomous) Mackinaickenpatti Post  Pollachi Taluk
Coimbatore District 642003",COMPUTER SCIENCE AND ENGINEERING,165.0
"Holy Cross Engineering College  Vagaikulam
Sri Mulakarai  Srivaikuntam   Thoothukudi District 628851","ELECTRONICS AND
COMMUNICATION ENGINEERING",165.0
"Dr. Mahalingam College of  Engineering and Technology (Autonomous) Mackinaickenpatti Post  Pollachi Taluk
Coimbatore District 642003",ELECTRONICS AND COMMUNICATION ENGINEERING,165.0
"Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai
District 625015",ELECTRICAL AND ELECTRONICS ENGINEERING,165.0
"Sri Venkateswara College of Engineering (Autonomous)  Post Bag No.1  Chennai- Bengaluru High Road  Pennalur Irungattukottai S.O.  Sriperumbudur Taluk
Kancheepuram District 602105",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165.0
"Sri Eshwar College of Engineering (Autonomous)  Kondampatti Post  Vadasithur (Via)  Kinathukadavu  Coimbatore District
641202",INFORMATION TECHNOLOGY,164.5
"R V S College of Engineering and Technology Kannampalayam  Sulur  Coimbatore District
641402",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,164.5
"Kongu Engineering College (Autonomous)
Perundurai  Erode District 638052","ELECTRICAL AND ELECTRONICS
ENGINEERING",164.5
"Excel Engineering College (Autonomous)  NH- 544  Salem Main Road  Pallakapalayam Sankari West Post  Komarapalayam Taluk
Namakkal District - 637303",ELECTRICAL AND ELECTRONICS ENGINEERING,164.5
"T J S Engineering College  Peruvoyal  Near Kavaraipettai  Gummidipoondi Taluk
Thiruvallur District 601206",COMPUTER SCIENCE AND ENGINEERING,164.5
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi  Sivagangai District 630004,ELECTRICAL AND ELECTRONICS ENGINEERING,164.5
"University College of Engineering  Nagercoil
Nagercoil Industrial Estate  Konam Kanyakumari District 629004",COMPUTER SCIENCE AND ENGINEERING,164.5
"Sri Krishna College of Enginering and Technology (Autonomous)   Kuniamuthur
Coimbatore District 641008",COMPUTER SCIENCE AND ENGINEERING,164.5
"Sree Sowdambika  College of Engineering Aruppukkottai Taluk  Virudhunagar District
626134",COMPUTER SCIENCE AND ENGINEERING,164.5
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","AUTOMOBILE ENGINEERING
(SS)",164.5
"Sri Eshwar College of Engineering (Autonomous)  Kondampatti Post  Vadasithur (Via)  Kinathukadavu  Coimbatore District
641202",ELECTRONICS AND COMMUNICATION ENGINEERING,164.5
"A V S Engineering College  Military Road
Ammapet  Salem District 636003","ELECTRICAL AND ELECTRONICS
ENGINEERING",164.0
"Sona College of Technology (Autonomous)
Suramangalam Post  Salem District 636005",Mechatronics Engineering,164.0
