COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
3819,"Saranathan College of  Engineering, Panjappur, Tiruchirappalli District  620012",IC,Instrumentation and Control Engineering,153.5,,,,,,
3820,"Trichy Engineering College, Konalai, Tiruchirappalli District 621132",ME,Mechanical Engineering,152,,,,,,
3822,"Dr. Navalar Nedunchezhian College of Engineering, Tholudur, Cuddalore District 606303",ME,Mechanical Engineering,132,,,,,,
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post,
Thanjavur District 613403",CS,Computer Science and Engineering,126.5,103.5,,,,,
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post,
Thanjavur District 613403",EC,Electronics and Communication Engineering,,,,128,,,
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post,
Thanjavur District 613403",EE,Electrical and Electronics Engineering,,113,,,,,
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post,
Thanjavur District 613403",ME,Mechanical Engineering,129.5,,,,,,
3826,"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti,
Thottiyam, Tiruchirappalli District 621215",ME,Mechanical Engineering,146,136.5,,,,,
3829,"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur,
Tiruchirappalli District 621105",IT,Information Technology,137,,,,,,
3829,"M.A.M. College of Engineering and Technology,
Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105",ME,Mechanical Engineering,146,117,,,,,
3830,"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk,
Tiruchirappalli District 621112",ME,Mechanical Engineering,135.5,,,130,,,
3831,"Indra Ganesan College of Engineering, Madurai Main Road, Manikandam, Tiruchirappalli District
620012",CS,Computer Science and Engineering,,,,,114,,
3831,"Indra Ganesan College of Engineering, Madurai
Main Road, Manikandam, Tiruchirappalli District 620012",EC,Electronics and Communication Engineering,127.5,,,,,,
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District 608306",CS,Computer Science and Engineering,,,,,126,,
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District 608306",EC,Electronics and Communication Engineering,100,,,,,,
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District
608306",ME,Mechanical Engineering,109,,,107,,,
3846,"Mother Terasa College of Engineering and Technology, Mettusalai Post and Taluk,
Pudukkottai District 622102",CE,Civil Engineering,107,,,,,,
3847,"Roever College of Engineering and Technology, Elambalur, Perambalur District 621212",ME,Mechanical Engineering,,,,123,,,
3848,"Vandayar Engineering College, Pulavarnatham Post, Mariamman Koil (Via), Thanjavur District
613001",EE,Electrical and Electronics Engineering,99,,,,,,
3848,"Vandayar Engineering College, Pulavarnatham Post, Mariamman Koil (Via), Thanjavur District
613001",ME,Mechanical Engineering,131,,,,,,
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District
612503",CE,Civil Engineering,101,,,,,,
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District
612503",EC,Electronics and Communication Engineering,121,112.5,,119,,,
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District
612503",EE,Electrical and Electronics Engineering,145.5,,,,128,,
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District
612503",IT,Information Technology,,,,,136,,
3849,"Annai College of Engineering and Technology,
Kovilacheri, Kumbakonam, Thanjavur District 612503",ME,Mechanical Engineering,139,133.5,,,,,
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai, Thiruvidaimaruthur, Thanjavur District 612102",EE,Electrical and Electronics Engineering,,116,,,,,
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai, Thiruvidaimaruthur, Thanjavur District 612102",ME,Mechanical Engineering,128,,,,116,,
3857,"Meenakshi Ramaswamy Engineering College, Trichy Main Road,  Thathanur, Udayarpalayam,
Ariyalur District 621804",CS,Computer Science and Engineering,125.5,,,,,,
3859,"Sembodai Rukmani Varatharajan Engineering
College, Sembodai Village, Vedaraniam, Nagappattinam District 614820",EE,Electrical and Electronics Engineering,113,,,,,,
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur
Post, Panruti, Cuddalore District 607110",CS,Computer Science and Engineering,112,,,,,,
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur
Post, Panruti, Cuddalore District 607110",EC,Electronics and Communication Engineering,,,,,130,,
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur
Post, Panruti, Cuddalore District 607110",EE,Electrical and Electronics Engineering,130,,,,,,
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur
Post, Panruti, Cuddalore District 607110",ME,Mechanical Engineering,,,,132.5,,,
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",CE,Civil Engineering,125,,,,,,
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",CS,Computer Science and Engineering,121.5,,,,,,
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",EC,Electronics and Communication Engineering,134.5,,,,104,,
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",EE,Electrical and Electronics Engineering,,,,,128,,
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",ME,Mechanical Engineering,132,129.5,,113.5,,,
